Id,Name,Price
a7d5f08e-3d68-4ef8-8fb4-f0ca1a53ed01,Wireless Mouse,24.99
65f52a7a-5ed5-4e70-a3f1-94327453d6c8,Mechanical Keyboard,79.50
6d35f2f3-e2f6-417e-97e8-3f7a56eb0f3f,USB-C Hub,39.00
ce6e0a8e-fad0-4f17-9c4a-908f4f4c8b95,Noise-Canceling Headphones,149.99
4b9e4458-72f9-47d9-9f17-5c65b9fbe11e,4K Monitor,289.00
f90285c8-4f71-4554-b757-ad8fb8ea6cc4,Laptop Stand,31.75
0f6f8d1e-0fd6-4622-8d85-66f3e95b0e21,Webcam 1080p,59.99
5ea94313-b5ec-44ed-b259-f41ba84f6c5d,External SSD 1TB,109.00
31b7c4d1-cb4e-4f61-8fcb-b5e2fc3a6942,Ergonomic Chair Cushion,44.50
15f2365e-45cd-48d0-a706-a1b0c6dbf831,Portable Bluetooth Speaker,68.25
0a5af839-5b7d-4e95-9418-0f26062734d3,Smart LED Desk Lamp,42.99
0ee80519-7c87-4f1b-bf38-15c1a7aa4bb9,Wireless Charging Pad,27.49
70ef8a9a-3e8d-4d6b-94ba-7f83d710c3a2,Gaming Mouse Pad,19.95
f93aa293-8e10-4fb4-8176-a120744268d1,Laptop Cooling Pad,36.80

